user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.110	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__	N/A	N/A	N/A	N/A	N/A	GCF_003351045.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__Gaiella occulta	78.81	0.46	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	63.35	11	0.8805631582313126	N/A
bin.112	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003246755.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SZUA-320;s__SZUA-320 sp003246755	75.91	0.08	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	55.26	11	0.8320934435352801	Genome has more than 36.7% of markers with multiple hits
bin.114	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	ANI	N/A	GCA_003152455.1, s__Pseudolabrys sp003152455, 95.0, 79.81, 0.62; GCA_003133345.1, s__Pseudolabrys sp003133345, 95.0, 79.46, 0.58; GCA_001464835.1, s__Pseudolabrys sp001464835, 95.0, 78.01, 0.56; GCF_003367395.1, s__Pseudolabrys taiwanensis, 95.0, 77.88, 0.6; GCF_001426945.1, s__Pseudolabrys sp001426945, 95.0, 77.63, 0.56; GCA_001899285.1, s__Pseudolabrys sp001899285, 95.0, 77.33, 0.4; GCF_003367195.1, s__Pseudolabrys sp003367195, 95.0, 77.2, 0.48; GCF_005153485.1, s__Pseudolabrys sp005153485, 95.0, 77.05, 0.47	11.57	11	0.92667133271753	N/A
bin.115	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__BOG-938;s__	N/A	N/A	N/A	N/A	N/A	GCA_003164925.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__BOG-938;s__BOG-938 sp003164925	77.89	0.24	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	27.52	11	0.9044805302135377	N/A
bin.116	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Kutzneria;s__	N/A	N/A	N/A	N/A	N/A	GCF_000568255.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Kutzneria;s__Kutzneria sp000568255	89.88	0.88	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Kutzneria;s__	taxonomic classification defined by topology and ANI	N/A	GCF_003387475.1, s__Kutzneria buriramensis, 95.0, 87.57, 0.86; GCF_000525635.1, s__Kutzneria albida, 95.0, 81.18, 0.6	30.04	11	0.981106140738519	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.118	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8190;g__Bog-564;s__	N/A	N/A	N/A	N/A	N/A	GCA_003139255.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8190;g__Bog-564;s__Bog-564 sp003139255	77.6	0.23	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8190;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	20.36	11	0.8539157175333396	N/A
bin.119	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__UKL13-2;g__GR16-43;s__	N/A	N/A	N/A	N/A	N/A	GCF_001953215.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__UKL13-2;g__GR16-43;s__GR16-43 sp001953215	79.13	0.59	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__UKL13-2;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	17.24	11	0.8975251701522843	N/A
bin.12	d__Bacteria;p__Myxococcota;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	10.1	11	0.3862331006753465	Genome domain questionable ( 10.8% Bacterial, 2.5% Archaeal)
bin.120	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__SG8-24;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__SG8-24;g__;s__	taxonomic novelty determined using RED	N/A	N/A	60.65	11	0.8119182030733403	Genome has more than 11.7% of markers with multiple hits
bin.122	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	40.28	11	0.9129224175759265	Genome has more than 25.0% of markers with multiple hits
bin.124	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__	N/A	N/A	N/A	N/A	N/A	GCA_005879435.1	95.0	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__DP-20 sp005879435	76.75	0.19	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__	taxonomic classification defined by topology and ANI	N/A	GCA_005879255.1, s__DP-20 sp005879255, 95.0, 76.57, 0.21	65.58	11	0.9343722911339198	N/A
bin.125	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__QHBO01;f__QHBO01;g__CF-167;s__	N/A	N/A	N/A	N/A	N/A	GCA_005879775.1	95.0	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__QHBO01;f__QHBO01;g__CF-167;s__CF-167 sp005879775	78.48	0.35	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__QHBO01;f__QHBO01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	78.91	11	0.8834275435136679	N/A
bin.126	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1280;f__UBA6156;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1280;f__UBA6156;g__;s__	taxonomic novelty determined using RED	N/A	N/A	71.49	11	0.9139964893173949	N/A
bin.129	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	19.07	11	0.5643442878443328	N/A
bin.131	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_005885405.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__VAYN01 sp005885405	84.88	0.76	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	16.92	11	0.9194292928948986	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.133	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	25.91	11	0.7701828200027312	Genome has more than 30.8% of markers with multiple hits
bin.134	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides_B;s__	N/A	N/A	N/A	N/A	N/A	GCF_004168035.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides_B;s__Nocardioides_B iriomotensis	80.71	0.49	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	63.02	11	0.8848343920462125	Genome has more than 11.7% of markers with multiple hits
bin.135	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium pisi	GCF_003938655.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium pisi	99.17	0.92	GCF_003938655.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium pisi	99.17	0.92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003985155.1, s__Rhizobium vallis, 95.0, 90.92, 0.8; GCF_002531725.1, s__Rhizobium sp002531725, 95.0, 88.87, 0.73; GCF_003985145.1, s__Rhizobium anhuiense, 95.0, 88.78, 0.75; GCF_002211285.1, s__Rhizobium sp002211285, 95.0, 88.69, 0.74; GCF_004123835.1, s__Rhizobium leguminosarum_M, 95.0, 88.51, 0.72; GCF_005860925.1, s__Rhizobium sp005860925, 95.0, 88.38, 0.74; GCF_002953715.1, s__Rhizobium leguminosarum_K, 95.0, 88.37, 0.75; GCF_000419745.1, s__Rhizobium leguminosarum_C, 95.0, 88.35, 0.76; GCF_000009265.1, s__Rhizobium leguminosarum_L, 95.0, 88.32, 0.73; GCF_002531825.1, s__Rhizobium sp002531825, 95.0, 88.31, 0.7; GCF_002531935.1, s__Rhizobium sp002531935, 95.0, 88.3, 0.71; GCF_002008365.1, s__Rhizobium leguminosarum, 95.0, 88.29, 0.76; GCF_000769405.1, s__Rhizobium leguminosarum_E, 95.0, 88.25, 0.73; GCF_001657485.1, s__Rhizobium sp001657485, 95.0, 88.25, 0.73; GCF_001652265.1, s__Rhizobium leguminosarum_D, 95.0, 88.17, 0.73; GCF_000023185.1, s__Rhizobium leguminosarum_J, 95.0, 88.15, 0.72; GCF_000172795.2, s__Rhizobium sp000172795, 95.0, 88.09, 0.67; GCF_000371905.1, s__Rhizobium leguminosarum_I, 95.0, 88.07, 0.73; GCF_001187535.1, s__Rhizobium ecuadorense, 95.0, 88.03, 0.69; GCF_002211305.1, s__Rhizobium sp002211305, 95.0, 88.0, 0.71; GCF_001664485.1, s__Rhizobium sp001664485, 95.0, 87.97, 0.71; GCF_002008165.1, s__Rhizobium laguerreae, 95.0, 87.96, 0.73; GCF_002914525.1, s__Rhizobium hidalgonense, 95.0, 87.8, 0.73; GCF_002531755.2, s__Rhizobium acidisoli, 95.0, 87.76, 0.72; GCF_000271845.1, s__Rhizobium leguminosarum_G, 95.0, 87.75, 0.74; GCF_002531905.1, s__Rhizobium sp002531905, 95.0, 87.68, 0.73; GCF_000292525.1, s__Rhizobium sp000292525, 95.0, 87.63, 0.69; GCF_002531955.1, s__Rhizobium sp002531955, 95.0, 87.63, 0.7; GCF_003985125.1, s__Rhizobium phaseoli, 95.0, 87.26, 0.71; GCA_002008155.1, s__Rhizobium sophorae, 95.0, 87.16, 0.7; GCF_001662075.1, s__Rhizobium bangladeshense_B, 95.0, 87.13, 0.68; GCF_002204185.1, s__Rhizobium esperanzae, 95.0, 87.12, 0.68; GCF_900094625.1, s__Rhizobium aethiopicum, 95.0, 87.1, 0.69; GCF_000092045.1, s__Rhizobium etli, 95.0, 86.94, 0.7; GCF_002117485.1, s__Rhizobium sp002117485, 95.0, 86.7, 0.7; GCF_001662055.1, s__Rhizobium bangladeshense, 95.0, 86.47, 0.68; GCF_900471515.1, s__Rhizobium sp900471515, 95.0, 83.52, 0.56; GCF_000744505.1, s__Rhizobium alamii, 95.0, 83.24, 0.59; GCF_900470965.1, s__Rhizobium sp900470965, 95.0, 83.14, 0.56; GCF_900468805.1, s__Rhizobium sp900468805, 95.0, 82.98, 0.57; GCF_900466475.1, s__Rhizobium sp900466475, 95.0, 82.78, 0.56; GCF_900471925.1, s__Rhizobium sp900471925, 95.0, 82.62, 0.54; GCA_900468685.1, s__Rhizobium sp900468685, 95.0, 82.37, 0.5; GCF_004341105.1, s__Rhizobium sp004341105, 95.0, 82.26, 0.53; GCF_000746385.1, s__Rhizobium sp000746385, 95.0, 81.77, 0.49; GCA_900465675.1, s__Rhizobium sp900465675, 95.0, 81.77, 0.48; GCF_000419765.1, s__Rhizobium mongolense, 96.05, 81.66, 0.5; GCF_000799775.1, s__Rhizobium sp000799775, 95.0, 81.64, 0.47; GCF_000377565.1, s__Rhizobium sp000377565, 95.0, 81.54, 0.45; GCF_900465665.1, s__Rhizobium sp900465665, 95.0, 81.52, 0.46; GCF_900467745.1, s__Rhizobium sp900467745, 95.0, 81.49, 0.44; GCF_001908375.1, s__Rhizobium etli_B, 95.0, 81.48, 0.49; GCF_900472605.1, s__Rhizobium sp900472605, 95.0, 81.4, 0.48; GCF_900169785.1, s__Rhizobium sullae, 95.0, 81.28, 0.5; GCF_900099775.1, s__Rhizobium loessense, 96.05, 81.25, 0.48; GCA_900470805.1, s__Rhizobium sp900470805, 95.0, 81.24, 0.43; GCA_900472625.1, s__Rhizobium sp900472625, 95.0, 81.21, 0.43; GCA_002200935.1, s__Rhizobium yanglingense, 95.29, 81.05, 0.49; GCF_004365425.1, s__Rhizobium azibense, 95.29, 81.03, 0.49; GCF_000745655.1, s__Rhizobium leguminosarum_A, 95.0, 80.99, 0.44; GCF_000282035.1, s__Rhizobium sp000282035, 95.0, 80.95, 0.46; GCF_900094565.1, s__Rhizobium lusitanum, 95.0, 80.88, 0.46; GCF_900489925.1, s__Rhizobium sp900489925, 95.0, 80.84, 0.46; GCF_000799845.1, s__Rhizobium sp000799845, 95.27, 80.82, 0.46; GCF_000577275.1, s__Rhizobium favelukesii, 95.66, 80.74, 0.47; GCF_900110205.1, s__Rhizobium tibeticum, 95.66, 80.72, 0.46; GCF_001429725.1, s__Rhizobium sp001429725, 95.0, 80.71, 0.42; GCF_001424945.1, s__Rhizobium sp001424945, 95.0, 80.67, 0.43; GCF_900468535.1, s__Rhizobium sp900468535, 95.0, 80.65, 0.43; GCF_001542405.1, s__Rhizobium altiplani, 95.0, 80.61, 0.43; GCF_000696095.1, s__Rhizobium rhizogenes, 95.0, 80.57, 0.45; GCF_000359745.1, s__Rhizobium freirei, 95.0, 80.57, 0.43; GCF_000799715.1, s__Rhizobium rhizogenes_C, 95.0, 80.55, 0.44; GCF_900469615.1, s__Rhizobium sp900469615, 95.0, 80.5, 0.41; GCF_900094585.1, s__Rhizobium multihospitium, 95.0, 80.5, 0.44; GCF_000298315.2, s__Rhizobium grahamii, 95.0, 80.5, 0.42; GCF_900094555.1, s__Rhizobium hainanense, 95.0, 80.45, 0.44; GCF_001426265.1, s__Rhizobium sp001426265, 95.0, 80.45, 0.44; GCF_003627795.1, s__Rhizobium sp003627795, 95.0, 80.44, 0.45; GCF_003025035.1, s__Rhizobium sp003025035, 95.0, 80.44, 0.58; GCF_002944315.1, s__Rhizobium sp002944315, 95.0, 80.43, 0.45; GCF_000799755.1, s__Rhizobium tropici_A, 95.0, 80.43, 0.43; GCF_004362445.1, s__Rhizobium sp004362445, 95.0, 80.38, 0.42; GCF_002211365.1, s__Rhizobium sp002211365, 95.0, 80.37, 0.46; GCF_000746265.1, s__Rhizobium sp000746265, 95.0, 80.37, 0.4; GCF_900472485.1, s__Rhizobium sp900472485, 95.0, 80.32, 0.42; GCF_000745735.1, s__Rhizobium rhizogenes_A, 95.0, 80.3, 0.44; GCF_004345245.1, s__Rhizobium sp004345245, 95.0, 80.29, 0.43; GCF_000745725.1, s__Rhizobium rhizogenes_B, 95.0, 80.27, 0.45; GCF_004341625.1, s__Rhizobium sp004341625, 95.0, 80.26, 0.43; GCF_000312665.1, s__Rhizobium mesoamericanum, 95.0, 80.26, 0.41; GCF_900468625.1, s__Rhizobium sp900468625, 95.0, 80.24, 0.43; GCF_900466605.1, s__Rhizobium sp900466605, 95.0, 80.21, 0.39; GCF_000426285.1, s__Rhizobium leucaenae, 95.0, 80.21, 0.43; GCF_002277895.1, s__Rhizobium sp002277895, 95.0, 80.15, 0.43; GCF_001692325.1, s__Rhizobium sp001692325, 95.0, 80.1, 0.43; GCF_003627755.1, s__Rhizobium jaguaris, 95.0, 80.06, 0.43; GCF_003122325.1, s__Rhizobium album, 95.0, 80.02, 0.36; GCF_003240585.1, s__Rhizobium tubonense, 95.0, 79.54, 0.39	65.73	11	N/A	N/A
bin.136	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_001425825.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__Rhizobacter sp001425825	88.34	0.56	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900142965.1, s__Rhizobacter sp900142965, 95.0, 87.58, 0.53; GCF_000799605.1, s__Rhizobacter sp000799605, 95.0, 87.44, 0.53; GCF_000800095.1, s__Rhizobacter sp000800095, 95.0, 86.62, 0.53; GCA_005882155.1, s__Rhizobacter sp005882155, 95.0, 80.36, 0.19; GCF_001425865.1, s__Rhizobacter sp001425865, 95.0, 79.96, 0.26; GCF_002116905.1, s__Rhizobacter gummiphilus, 95.0, 79.84, 0.3; GCF_000799305.1, s__Rhizobacter sp000799305, 95.0, 79.76, 0.37; GCA_003152055.1, s__Rhizobacter sp003152055, 95.0, 78.97, 0.12; GCA_002255905.1, s__Rhizobacter sp002255905, 95.0, 78.74, 0.19; GCF_001425785.1, s__Rhizobacter sp001425785, 95.0, 78.55, 0.26; GCF_003852895.1, s__Rhizobacter sp003852895, 95.0, 78.48, 0.3; GCA_001263235.1, s__Rhizobacter sp001263235, 95.0, 78.32, 0.28; GCA_002281415.1, s__Rhizobacter sp002281415, 95.0, 77.72, 0.12; GCA_001464195.1, s__Rhizobacter sp001464195, 95.0, 76.73, 0.21	12.76	11	0.9995651991558472	N/A
